time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20120611:0000;15.82;92.75;0;0;0;356.3;1.45;97;99330
20120611:0100;16;89.65;0;0;0;374.8;1.17;100;99290
20120611:0200;15.8;92.75;0;0;0;366.35;0.97;87;99250
20120611:0300;15.62;92.75;0;0;0;365.75;0.83;53;99220
20120611:0400;15.79;92.75;32;74.91;26;374.85;0.69;45;99210
20120611:0500;16.25;92.8;81;12.22;78;377;0.55;56;99210
20120611:0600;16.93;89.65;157;14.51;151;377;0.48;70;99220
20120611:0700;17.4;83.7;146;0;146;370.4;0.21;298;99290
20120611:0800;18.44;80.9;322;28.13;302;368.65;0.21;196;99270
20120611:0900;19;75.65;567;207.17;397;371.95;0.28;164;99260
20120611:1000;19.65;73.15;607;188.07;439;379.1;0.48;91;99210
20120611:1100;20.81;70.8;821;524.79;336;370.8;0.69;117;99180
20120611:1200;21.86;66.25;841;605.79;289;360.55;1.17;164;99120
20120611:1300;22.47;64.1;685;367.15;371;377;1.03;175;99090
20120611:1400;22.98;62.05;560;277.61;349;355.9;0.76;183;99030
20120611:1500;23.29;58;298;39.54;273;362.85;0.62;173;98990
20120611:1600;22.48;61.95;54;0;54;369.85;1.1;188;98960
20120611:1700;20.81;70.8;125;25.41;117;373.3;0.83;242;98970
20120611:1800;19.84;78.35;98;333.29;49;359.75;1.72;350;98980
20120611:1900;20.16;73.2;0;0;0;357.25;0.48;135;98940
20120611:2000;18.12;80.9;0;0;0;355.9;1.17;333;99020
20120611:2100;16.95;83.65;0;0;0;355.7;1.72;353;99060
20120611:2200;16.35;86.55;0;0;0;351.65;2.21;28;99050
20120611:2300;15.93;89.6;0;0;0;357.45;2.41;53;99020
20120612:0000;15.64;89.6;0;0;0;370.6;2.69;69;99010
20120612:0100;15.41;92.75;0;0;0;373.6;2.9;74;98960
20120612:0200;15.31;92.75;0;0;0;367.7;2.76;72;98890
20120612:0300;15.19;92.75;0;0;0;364.8;2.83;74;98840
20120612:0400;15.14;89.55;28;49.79;24;364.4;3.03;83;98800
20120612:0500;15.3;92.75;74;4.07;73;370;3.03;92;98750
20120612:0600;15.41;92.75;218;89.48;181;377.4;3.24;112;98760
20120612:0700;15.24;89.55;322;99.61;265;375.45;0.76;227;98740
20120612:0800;15.69;86.5;413;104.06;339;371.2;3.03;270;98800
20120612:0900;16.02;77.95;455;77.98;391;362.3;4.07;301;98840
20120612:1000;16.82;70.2;451;45.89;410;357.85;3.59;328;98920
20120612:1100;18.05;63.3;892;703.05;242;342.55;3.1;347;98950
20120612:1200;19.29;57.1;804;512.22;337;324.15;2.55;348;98940
20120612:1300;20.07;53.35;823;708.02;217;339.05;2;329;98970
20120612:1400;20.77;51.65;757;805.61;144;334.2;1.86;306;98970
20120612:1500;21.37;51.75;575;628.55;177;338.3;2.14;290;99000
20120612:1600;21.48;51.75;417;579.46;138;339.05;2.55;283;99030
20120612:1700;21.06;55.55;255;509.34;94;335.95;2.28;284;99060
20120612:1800;20.26;63.7;75;134.85;55;337.3;1.93;281;99080
20120612:1900;18.78;70.45;0;0;0;330.95;1.93;321;99190
20120612:2000;17.24;75.4;0;0;0;322.05;2;317;99240
20120612:2100;16.15;77.95;0;0;0;321.25;2.55;300;99320
20120612:2200;15.77;75.15;0;0;0;325.7;2.9;296;99350
20120612:2300;15.26;77.8;0;0;0;323.4;2.55;290;99380
20120613:0000;14.64;77.75;0;0;0;319.1;2.34;282;99390
20120613:0100;13.96;77.65;0;0;0;311.3;2.41;268;99410
20120613:0200;13.32;80.35;0;0;0;305.4;2.55;262;99400
20120613:0300;12.82;83.25;0;0;0;301.5;2.55;263;99410
20120613:0400;12.35;86.2;46;248.54;26;296.85;2.48;264;99450
20120613:0500;13.1;83.25;197;504.55;73;295.3;2.07;266;99500
20120613:0600;15.37;75.1;383;694.09;96;297.65;2.07;269;99580
20120613:0700;16.95;75.3;562;782.9;114;298.6;2.41;253;99690
20120613:0800;18.86;65.65;721;831.05;130;306.35;2.34;260;99720
20120613:0900;20.51;55.45;853;874.76;135;314.3;2.21;262;99770
20120613:1000;21.83;51.9;938;889.57;143;317.75;1.72;251;99780
20120613:1100;22.96;46.85;976;899.59;144;325.3;1.52;237;99810
20120613:1200;23.6;42.35;955;883.58;149;326.85;1.52;225;99800
20120613:1300;24.18;41;887;863.94;147;338.3;1.66;216;99780
20120613:1400;24.36;39.55;772;828.4;141;342.95;1.93;239;99780
20120613:1500;23.95;39.45;539;479.38;235;347.95;2.28;240;99800
20120613:1600;22.87;45.25;452;706.66;111;347.75;2.34;228;99850
20120613:1700;22.14;53.85;257;498.01;99;349.1;1.66;206;99890
20120613:1800;21.32;61.7;91;247.44;54;343.7;1.59;208;99930
20120613:1900;19.63;63.6;0;0;0;323.4;2.28;242;99990
20120613:2000;17.69;72.8;0;0;0;320.1;2.48;234;100070
20120613:2100;16.47;78;0;0;0;313.1;2.76;233;100140
20120613:2200;15.64;83.55;0;0;0;309.65;2.76;240;100190
20120613:2300;14.92;89.5;0;0;0;308.85;2.55;253;100240
20120614:0000;14.09;92.7;0;0;0;305.75;2.07;264;100250
20120614:0100;13.53;92.65;0;0;0;304.35;1.52;251;100280
20120614:0200;13.05;95.95;0;0;0;304.6;1.31;206;100290
20120614:0300;12.48;95.95;0;0;0;306.95;1.38;180;100320
20120614:0400;12.92;95.95;30;62.1;25;308.3;0.76;161;100370
20120614:0500;13.94;92.7;147;187.2;101;316.8;0.34;92;100380
20120614:0600;15.61;86.5;368;636.18;105;319.5;0.48;96;100420
20120614:0700;17.21;75.4;535;699.13;135;329.75;0.69;46;100520
20120614:0800;18.59;72.95;674;694.7;180;331.5;0.69;106;100540
20120614:0900;19.87;68.2;816;791.89;166;335.95;0.83;127;100560
20120614:1000;20.74;63.8;892;785.39;190;344.1;0.55;145;100550
20120614:1100;21.09;61.7;874;642.07;280;354.15;0.55;170;100520
20120614:1200;21.73;57.65;825;552.26;321;365;0.55;202;100520
20120614:1300;21.96;57.65;854;787.51;179;364.2;0.69;239;100510
20120614:1400;22.44;53.85;739;741.03;174;358.4;0.9;241;100490
20120614:1500;22.47;53.85;563;568.47;202;372.95;0.55;256;100470
20120614:1600;22.77;52.1;417;556.29;148;366.15;0.9;261;100460
20120614:1700;22.43;55.8;240;398.93;113;357.25;1.31;282;100460
20120614:1800;21.71;61.85;63;59.73;54;362.3;1.31;298;100480
20120614:1900;20.28;68.3;0;0;0;338.1;1.66;313;100490
20120614:2000;18.23;75.45;0;0;0;332.65;1.86;286;100560
20120614:2100;16.68;80.8;0;0;0;328.05;2;264;100610
20120614:2200;15.68;86.5;0;0;0;327.05;2.07;254;100630
20120614:2300;14.92;92.7;0;0;0;323.55;2;253;100650
20120615:0000;14.31;92.7;0;0;0;320.85;2;247;100650
20120615:0100;13.8;92.65;0;0;0;317.9;2;242;100660
20120615:0200;13.52;92.65;0;0;0;322.2;1.93;243;100660
20120615:0300;13.24;95.95;0;0;0;322.05;1.79;252;100650
20120615:0400;12.84;95.95;35;99.42;27;312.75;1.72;267;100690
20120615:0500;13.82;95.95;168;309.45;92;313.7;1.17;272;100710
20120615:0600;16.37;83.6;349;544.47;124;319.9;0.97;259;100750
20120615:0700;19.03;70.55;539;715.06;130;326.85;0.97;247;100840
20120615:0800;20.7;63.8;683;732.79;162;337.5;0.97;228;100840
20120615:0900;22.19;55.8;810;773.65;175;342.75;0.97;223;100850
20120615:1000;23.03;50.45;905;826.71;166;352;0.76;225;100860
20120615:1100;23.96;48.8;942;836.43;168;348.15;0.48;242;100840
20120615:1200;24.63;47.4;937;855.42;156;349.3;0.62;250;100830
20120615:1300;25.17;45.9;880;859.3;143;354.15;0.62;247;100810
20120615:1400;25.45;47.5;759;800.63;148;360.15;0.41;240;100760
20120615:1500;25.61;46;614;754.87;134;359.55;0.28;268;100730
20120615:1600;25.57;46;444;679.05;115;362.5;0.55;327;100710
20120615:1700;25.2;47.5;261;529.16;92;361.9;1.03;343;100710
20120615:1800;24.21;58.2;94;263.63;54;358.8;1.17;355;100710
20120615:1900;22.16;66.35;0;0;0;350.65;1.59;356;100720
20120615:2000;20.06;75.75;0;0;0;344.65;1.79;355;100750
20120615:2100;18.61;81;0;0;0;345.05;1.66;346;100780
20120615:2200;17.5;83.7;0;0;0;341.2;1.59;331;100800
20120615:2300;16.44;86.55;0;0;0;337.7;1.45;315;100800
20120616:0000;15.69;89.6;0;0;0;335.4;1.38;303;100780
20120616:0100;15.21;89.55;0;0;0;334.5;1.31;297;100790
20120616:0200;14.79;92.7;0;0;0;331.7;1.17;290;100770
20120616:0300;14.23;96;0;0;0;328.6;1.31;278;100760
20120616:0400;13.76;95.95;31;62.24;26;329.75;1.31;278;100790
20120616:0500;15.21;92.75;160;264.88;95;329.95;0.97;274;100790
20120616:0600;18.42;83.75;346;537.52;124;335.2;0.69;260;100820
20120616:0700;21.41;70.9;526;676.87;139;338.5;0.48;258;100910
20120616:0800;23.23;60.05;690;762.51;148;347.75;0.28;238;100880
20120616:0900;24.6;52.6;822;816.37;152;353.75;0.07;249;100860
20120616:1000;25.65;51.05;909;842.34;156;361.9;0.14;130;100830
20120616:1100;26.43;49.45;947;852.48;158;363.05;0.14;141;100790
20120616:1200;27.09;46.4;932;848.54;157;372.75;0.07;165;100750
20120616:1300;27.58;44.95;871;841.33;149;376.2;0.07;142;100710
20120616:1400;27.79;44.95;755;794.72;148;376.4;0.07;146;100670
20120616:1500;27.95;44.95;610;747.67;134;377;0.21;344;100630
20120616:1600;27.83;46.5;437;655.15;119;377.95;0.76;344;100630
20120616:1700;27.36;49.7;251;468.28;101;378.95;1.17;345;100620
20120616:1800;26.26;58.7;88;209.55;56;377.55;1.31;348;100630
20120616:1900;24.21;64.5;0;0;0;371.4;1.72;2;100590
20120616:2000;22.29;73.55;0;0;0;365.55;1.93;359;100640
20120616:2100;20.76;81.2;0;0;0;362.1;1.72;353;100630
20120616:2200;19.7;83.9;0;0;0;361.5;1.59;337;100640
20120616:2300;18.81;89.75;0;0;0;360.15;1.38;313;100630
20120617:0000;18.01;89.75;0;0;0;354.35;1.31;296;100620
20120617:0100;17.32;89.7;0;0;0;351.55;1.38;281;100620
20120617:0200;16.76;92.8;0;0;0;347.55;1.52;273;100570
20120617:0300;16.31;92.8;0;0;0;345.05;1.59;270;100570
20120617:0400;15.97;89.65;31;74.91;25;343.5;1.52;276;100580
20120617:0500;17.27;92.85;164;289.68;93;344.5;1.03;273;100600
20120617:0600;20.24;81.15;347;545.2;122;345.85;0.83;260;100630
20120617:0700;23.23;71.25;524;673.71;139;359.2;0.62;334;100700
20120617:0800;24.95;60.35;680;737.43;156;364.2;0.55;352;100690
20120617:0900;26.24;54.8;816;803.1;157;371.55;0.34;9;100690
20120617:1000;27.29;51.45;902;828.92;161;376;0;23;100670
20120617:1100;28.19;49.8;940;838.31;164;381.05;0.07;252;100640
20120617:1200;28.89;49.95;930;846.08;157;383.95;0.14;276;100590
20120617:1300;29.42;48.4;865;826.91;155;387.85;0.34;305;100570
20120617:1400;29.78;46.9;749;781.02;152;391.1;0.55;321;100520
20120617:1500;29.82;48.5;603;726.43;140;390.55;0.9;335;100490
20120617:1600;29.55;50.05;435;643.77;122;392.85;1.1;359;100450
20120617:1700;28.97;55.3;254;482.57;99;391.9;1.38;15;100460
20120617:1800;27.64;61;92;234.37;56;394;1.59;24;100460
20120617:1900;25.62;64.8;0;0;0;374.65;2.28;44;100450
20120617:2000;23.91;71.35;0;0;0;369.65;2.28;42;100500
20120617:2100;22.44;78.7;0;0;0;365.95;2;33;100530
20120617:2200;21.27;84.05;0;0;0;370;1.79;19;100520
20120617:2300;20.21;86.85;0;0;0;359;1.66;11;100520
20120618:0000;19.66;86.85;0;0;0;354.95;1.45;10;100510
20120618:0100;19.18;89.8;0;0;0;353.5;1.45;8;100490
20120618:0200;18.46;92.85;0;0;0;352.2;1.59;15;100470
20120618:0300;18.24;89.75;0;0;0;347.4;1.38;18;100450
20120618:0400;18.65;86.75;32;75.21;26;348.15;0.9;2;100460
20120618:0500;19.11;89.8;171;339.16;88;348.35;0.55;302;100480
20120618:0600;21.59;81.35;347;545.71;122;352.8;0.55;260;100510
20120618:0700;24.92;66.85;527;684.64;136;360.75;0.62;62;100550
20120618:0800;26.46;58.7;684;750.4;151;368.45;0.69;95;100530
20120618:0900;27.66;53.35;816;803.29;157;378.35;0.62;90;100530
20120618:1000;28.69;51.65;868;729.41;216;381.05;0.48;75;100500
20120618:1100;29.48;50.05;935;827.43;169;386.85;0.41;48;100480
20120618:1200;30.21;47;813;532.9;326;392.45;0.48;17;100410
20120618:1300;30.73;45.6;842;762.5;187;393.05;0.48;342;100370
20120618:1400;31.05;44.05;655;487.63;282;399.05;0.83;302;100340
20120618:1500;30.87;42.6;572;606.56;185;397.3;1.45;296;100320
20120618:1600;30.3;43.95;348;289.56;207;403.3;1.59;316;100280
20120618:1700;29.7;51.9;185;145.96;138;393.45;1.38;318;100270
20120618:1800;28.31;63.1;59;38.86;53;398.65;1.59;311;100300
20120618:1900;26.2;64.95;0;0;0;381.85;2.21;309;100300
20120618:2000;24.49;73.85;0;0;0;379.1;2;320;100330
20120618:2100;22.78;81.45;0;0;0;373.7;1.59;327;100360
20120618:2200;21.38;89.95;0;0;0;370.4;1.45;300;100380
20120618:2300;20.32;92.95;0;0;0;367.7;1.38;292;100380
20120619:0000;19.57;92.9;0;0;0;364.4;1.24;295;100350
20120619:0100;19.03;92.9;0;0;0;362;1.1;287;100360
20120619:0200;18.55;96.1;0;0;0;359;1.1;279;100330
20120619:0300;18.33;99.4;0;0;0;360.15;0.97;270;100310
20120619:0400;17.87;99.4;31;75.6;25;355.3;1.1;267;100310
20120619:0500;19.28;96.1;163;294.76;91;355.9;0.83;265;100310
20120619:0600;22.41;84.15;339;522.04;124;359;0.76;264;100340
20120619:0700;24.73;71.5;514;648.35;144;368.65;0.55;288;100390
20120619:0800;26.54;64.95;672;725.42;157;377.75;0.41;319;100420
20120619:0900;27.85;57.05;802;780.36;162;385.9;0.48;22;100410
20120619:1000;28.94;55.3;893;816.77;163;390.95;0.48;32;100400
20120619:1100;29.84;51.9;925;816.59;169;396.35;0.21;33;100350
20120619:1200;30.6;48.75;916;823.79;163;399.05;0.14;186;100290
20120619:1300;31.03;47.15;819;708.67;210;405.85;0.28;264;100230
20120619:1400;31.36;44.2;718;691.13;189;409.5;0.9;304;100230
20120619:1500;30.62;45.6;557;562.15;198;412.2;1.24;317;100200
20120619:1600;30.11;48.65;317;207.13;216;421.1;1.59;345;100150
20120619:1700;29.52;57.3;184;145.64;137;408.55;1.31;350;100120
20120619:1800;28.22;69.65;58;38.67;52;402.75;1.17;1;100110
20120619:1900;26.42;71.75;0;0;0;394.2;1.86;299;100130
20120619:2000;24.7;79.05;0;0;0;393.45;1.59;283;100180
20120619:2100;23.43;87.1;0;0;0;392.65;1.38;256;100200
20120619:2200;22.49;90;0;0;0;386.3;1.45;246;100200
20120619:2300;21.98;89.95;0;0;0;389.55;1.72;267;100190
20120620:0000;21.26;89.95;0;0;0;376.2;1.79;270;100180
20120620:0100;20.57;89.9;0;0;0;368.95;1.52;264;100160
20120620:0200;19.78;92.9;0;0;0;357.25;1.45;250;100120
20120620:0300;19.01;92.9;0;0;0;352;1.59;248;100090
20120620:0400;18.47;92.85;19;12.68;18;349.3;1.59;259;100070
20120620:0500;19.39;92.9;150;221.55;96;349.3;1.17;261;100080
20120620:0600;22.45;81.4;297;333.08;160;359.2;0.83;243;100070
20120620:0700;25.29;71.6;422;326.21;236;366.35;0.83;225;100120
20120620:0800;26.95;60.8;539;332.61;303;374.3;0.97;232;100130
20120620:0900;28.12;51.55;652;379.34;341;385.7;0.69;244;100100
20120620:1000;29.25;43.65;852;711.72;216;391.5;0.97;220;100100
20120620:1100;29.97;42.3;831;569.24;304;395;1.38;211;100050
20120620:1200;30.78;38.4;857;667.24;247;396.35;1.52;218;100000
20120620:1300;31.23;37.25;485;88.41;409;397.7;1.86;242;99940
20120620:1400;31.39;38.55;113;0;113;400.4;2.55;253;99900
20120620:1500;31.24;38.55;186;0;186;408.55;2.62;264;99860
20120620:1600;30.63;42.6;207;28.67;193;401.4;2.14;266;99790
20120620:1700;29.61;53.7;169;105.14;135;403.3;1.59;291;99770
20120620:1800;28.46;61;21;0;21;402.55;1.86;311;99780
20120620:1900;25.78;67.05;0;0;0;393.45;2.21;347;99800
20120620:2000;24.39;73.85;0;0;0;382.4;1.86;344;99820
20120620:2100;23.09;78.85;0;0;0;379.9;1.52;324;99830
20120620:2200;21.86;87;0;0;0;374.45;1.59;307;99810
20120620:2300;20.85;89.9;0;0;0;367.7;1.66;304;99790
20120621:0000;20.1;89.85;0;0;0;364.4;1.66;300;99760
20120621:0100;19.44;96.1;0;0;0;360.25;1.59;291;99740
20120621:0200;18.96;96.1;0;0;0;358;1.59;277;99710
20120621:0300;18.63;92.85;0;0;0;357.25;1.72;266;99690
20120621:0400;18.37;96.05;35;114.97;26;355.7;1.66;264;99650
20120621:0500;19.67;89.85;157;263.24;93;356.65;1.52;262;99670
20120621:0600;21.83;81.35;329;472.35;135;359.4;1.66;258;99680
20120621:0700;24.81;69.15;507;621.44;153;372.95;1.38;268;99720
20120621:0800;26.33;62.8;663;696.69;169;383.75;1.86;265;99730
20120621:0900;27.27;56.95;800;778.52;162;392.45;2.07;268;99720
20120621:1000;28.15;53.35;886;804.79;167;395.55;2;268;99720
20120621:1100;28.51;53.35;924;814.48;170;410.45;1.86;265;99690
20120621:1200;29.17;50.05;915;822.46;163;404.65;1.93;260;99660
20120621:1300;29.64;48.5;856;815.2;155;405.85;1.86;254;99600
20120621:1400;30.06;50.2;738;758.26;157;404.45;2.41;261;99580
20120621:1500;29.4;50.05;592;692.58;149;406.2;3.03;272;99570
20120621:1600;28.73;53.45;422;589.21;134;405.05;2.97;290;99580
20120621:1700;28;59;250;453.78;103;400.2;2.62;293;99600
20120621:1800;27.2;65.1;99;287.81;54;402.15;2.14;278;99640
20120621:1900;25.96;58.55;0;0;0;395.2;2.76;266;99650
20120621:2000;24.66;62.45;0;0;0;386.1;2.83;258;99730
20120621:2100;23.69;68.95;0;0;0;380.3;3.17;251;99800
20120621:2200;22.89;73.6;0;0;0;377.55;3.38;247;99820
20120621:2300;22.01;76.1;0;0;0;365.75;3.45;250;99850
20120622:0000;21.27;81.3;0;0;0;361.1;3.24;248;99880
20120622:0100;20.62;84.05;0;0;0;357.15;3.1;247;99890
20120622:0200;19.99;86.85;0;0;0;352.8;2.76;248;99910
20120622:0300;19.49;92.9;0;0;0;352.4;2.55;247;99910
20120622:0400;19;92.9;38;154.63;26;346.4;2.41;248;99940
20120622:0500;19.68;92.9;183;437.25;77;349.7;2.69;250;99970
20120622:0600;21.31;86.95;368;656.03;99;351.25;2.48;257;100030
20120622:0700;23.53;78.9;543;745.13;119;354.15;2.28;253;100110
20120622:0800;25.51;71.6;698;793.16;136;361.5;1.93;263;100160
20120622:0900;27.19;60.9;829;838.72;142;372.55;1.24;285;100170
20120622:1000;28.54;55.15;918;865.47;145;378.95;0.76;319;100180
20120622:1100;29.47;48.4;952;864.25;152;387.65;0.48;351;100160
20120622:1200;30.32;43.95;938;860.69;151;388.8;0.41;12;100140
20120622:1300;30.9;41.15;882;865;138;389;0.41;16;100100
20120622:1400;31.09;39.75;766;816.65;140;389.2;0.62;26;100080
20120622:1500;31.17;38.55;621;770.24;128;387.85;0.83;22;100060
20120622:1600;30.88;41.15;456;711.28;108;384.95;1.31;25;100050
20120622:1700;30.18;47;267;539.39;92;386.85;1.86;29;100040
20120622:1800;28.84;57.15;100;293.32;54;387.85;2;28;100070
20120622:1900;26.68;58.8;0;0;0;377.75;1.93;3;100100
20120622:2000;24.39;71.4;0;0;0;369.45;1.72;343;100180
20120622:2100;22.61;76.15;0;0;0;366.35;1.59;300;100250
20120622:2200;21.22;81.3;0;0;0;363.05;1.79;271;100280
20120622:2300;20.35;86.85;0;0;0;363.05;1.59;266;100310
20120623:0000;20.06;83.95;0;0;0;363.25;1.03;270;100340
20120623:0100;19.33;89.8;0;0;0;366.65;1.31;314;100380
20120623:0200;19.15;89.8;0;0;0;367.9;1.59;349;100370
20120623:0300;19.17;83.85;0;0;0;364.8;1.93;348;100360
20120623:0400;19.36;83.85;17;0;17;366.55;2.48;344;100430
20120623:0500;19.75;81.1;159;281.39;91;375.25;3.24;0;100490
20120623:0600;19.85;86.85;327;471.54;134;367.3;3.45;9;100580
20120623:0700;24.36;69.05;505;621.09;152;374.45;1.45;29;100520
20120623:0800;25.03;64.6;658;682.22;175;380.45;2.69;21;100580
20120623:0900;23.37;73.7;777;708.47;197;390.95;4.14;6;100640
20120623:1000;24.28;66.75;782;519.68;318;389.95;3.79;22;100640
20120623:1100;25.94;62.65;840;585.62;298;388.6;3.1;26;100610
20120623:1200;27.11;56.95;707;324.8;410;389.75;2.14;49;100600
20120623:1300;28.12;55.15;842;778.83;172;395.75;2.14;72;100550
20120623:1400;28.52;55.15;722;702.91;183;399.45;1.72;70;100480
20120623:1500;28.81;53.45;599;713.6;142;403.9;1.59;59;100470
20120623:1600;28.81;53.45;435;639.21;122;403.7;1.93;52;100450
20120623:1700;27.92;55.15;270;560.25;88;399.05;2.48;44;100460
20120623:1800;26.82;60.8;97;267.16;55;390.95;2.62;55;100480
20120623:1900;25.24;64.7;0;0;0;400.6;2.48;46;100580
20120623:2000;24.04;66.75;0;0;0;390.95;3.03;37;100640
20120623:2100;22.84;71.15;0;0;0;391.7;3.31;38;100710
20120623:2200;22.17;71.05;0;0;0;385.5;2.55;35;100690
20120623:2300;21.45;75.95;0;0;0;379.3;2.48;19;100680
20120624:0000;20.63;78.5;0;0;0;376;2.69;9;100670
20120624:0100;20.23;78.45;0;0;0;376.7;2.28;7;100670
20120624:0200;19.77;83.9;0;0;0;381.45;2.48;357;100650
20120624:0300;19.21;86.8;0;0;0;371.4;2.62;0;100670
20120624:0400;19.06;83.85;16;0;16;372.95;2.69;10;100620
20120624:0500;19.59;81.1;132;145.34;97;375.45;2.28;19;100630
20120624:0600;20.96;78.5;263;215.43;175;383.95;1.66;21;100600
20120624:0700;22.49;76.1;217;12.33;210;388.6;1.79;28;100650
20120624:0800;23.91;66.65;563;394.42;284;387.05;1.86;37;100670
20120624:0900;24.66;62.45;779;718.67;191;394.2;2.07;61;100640
20120624:1000;25.29;62.55;817;612.87;270;401.4;1.93;68;100580
20120624:1100;26.3;58.7;676;261.53;434;407.55;1.52;77;100540
20120624:1200;26.98;58.8;826;580.73;295;408.55;1.03;63;100480
20120624:1300;27.26;56.95;791;628.8;250;409.1;0.69;22;100440
20120624:1400;27.72;55.15;612;388.51;314;403.5;0.48;13;100340
20120624:1500;27.92;55.15;399;156.08;299;411.65;1.03;322;100290
20120624:1600;27.84;55.15;279;120.41;220;409.9;1.59;320;100210
20120624:1700;27.14;58.9;95;3.08;94;402.15;1.86;331;100180
20120624:1800;26.28;64.95;44;6.35;43;395.2;1.86;334;100140
20120624:1900;24.95;66.85;0;0;0;385.9;2.55;337;100130
20120624:2000;23.64;68.95;0;0;0;378.15;2.28;333;100130
20120624:2100;22.42;76.1;0;0;0;371.75;1.93;324;100110
20120624:2200;21.27;81.3;0;0;0;366.95;1.86;312;100100
20120624:2300;20.33;83.95;0;0;0;364.6;1.72;294;100080
20120625:0000;19.56;86.85;0;0;0;361.9;1.72;277;100050
20120625:0100;19.04;89.8;0;0;0;359.5;1.79;266;100000
20120625:0200;18.69;89.75;0;0;0;358.6;1.86;262;99940
20120625:0300;18.5;89.75;0;0;0;359;1.93;264;99910
20120625:0400;18.42;92.85;27;53.28;23;360.75;1.86;271;99890
20120625:0500;19.54;86.85;124;112.55;97;361.1;1.72;264;99890
20120625:0600;21.92;78.65;232;130.02;179;358.2;2.07;263;99890
20120625:0700;23.51;81.5;277;52.93;247;371.2;2.21;261;99900
20120625:0800;25.34;71.6;606;516.5;241;374.3;2.69;254;99870
20120625:0900;26.81;62.9;779;720.37;190;380.45;3.03;261;99860
20120625:1000;28;55.15;873;773.43;183;385.3;3.24;272;99860
20120625:1100;29.18;48.4;911;783.7;186;388.2;3.38;279;99830
20120625:1200;29.86;45.35;889;750.32;203;394.6;3.52;285;99800
20120625:1300;30.47;42.45;608;233.61;407;389.75;3.72;294;99730
20120625:1400;30.49;41;648;478.37;281;396.35;3.93;300;99720
20120625:1500;30.47;39.65;444;238.71;291;388.8;4.07;309;99690
20120625:1600;29.79;42.3;282;124.42;221;387.05;3.86;319;99680
20120625:1700;28.81;45.05;121;18.44;115;384.35;3.31;328;99670
20120625:1800;27.22;43.3;59;38.04;53;374.85;3.45;336;99720
20120625:1900;26.49;44.55;0;0;0;378.35;3.93;345;99670
20120625:2000;25.67;38.55;0;0;0;378.75;4.21;348;99760
20120625:2100;24.82;36.95;0;0;0;366.55;4.14;349;99870
20120625:2200;24.19;36.8;0;0;0;362.3;4.21;350;99970
20120625:2300;23.56;36.7;0;0;0;361.1;4.07;356;100020
20120626:0000;22.79;40.6;0;0;0;362.65;3.38;7;100090
20120626:0100;21.53;50.05;0;0;0;356.8;2.14;40;100170
20120626:0200;20.18;63.7;0;0;0;358.6;1.72;73;100200
20120626:0300;19.17;73.05;0;0;0;354.95;1.79;67;100250
20120626:0400;19.17;81.05;26;54.01;22;373.5;1.86;70;100290
20120626:0500;19.95;89.85;124;117.21;96;361.7;1.59;71;100360
20120626:0600;22.02;78.7;189;51.64;168;359.95;1.93;84;100400
20120626:0700;22.51;73.6;477;519.45;183;390.75;3.79;73;100440
20120626:0800;23.35;71.25;675;750.76;145;388.8;4;71;100470
20120626:0900;24.56;64.6;817;828.59;140;388.2;4.07;73;100480
20120626:1000;25.58;60.6;881;800.71;167;395.55;3.79;75;100460
20120626:1100;26.63;56.85;920;810.97;170;388.8;3.59;74;100450
20120626:1200;27.31;55.05;883;735.11;211;390.95;3.31;72;100430
20120626:1300;27.7;51.55;845;789.15;166;395.75;2.97;64;100410
20120626:1400;27.85;51.55;745;776.76;149;412.6;2.76;56;100390
20120626:1500;27.98;51.55;598;711.28;142;399.45;2.62;53;100370
20120626:1600;28.05;51.55;413;542.35;147;391.5;2.41;50;100350
20120626:1700;27.56;55.05;243;402.3;112;389.2;2.07;41;100360
20120626:1800;26.73;58.8;89;190.07;59;390.95;1.79;28;100390
20120626:1900;25.58;67.05;0;0;0;387.25;1.66;359;100360
20120626:2000;23.73;76.3;0;0;0;375.05;1.66;5;100400
20120626:2100;22.5;84.15;0;0;0;378.35;1.66;18;100440
20120626:2200;21.43;86.95;0;0;0;372.75;1.59;23;100470
20120626:2300;20.62;86.9;0;0;0;370;1.52;28;100480
20120627:0000;19.99;86.85;0;0;0;367.5;1.59;40;100480
20120627:0100;19.44;89.8;0;0;0;359.7;1.86;50;100490
20120627:0200;19.07;83.85;0;0;0;355.7;2;56;100490
20120627:0300;18.72;83.8;0;0;0;353.75;2.07;64;100470
20120627:0400;18.43;83.75;30;82.23;24;353.75;2;68;100490
20120627:0500;19.38;81.05;168;365.83;81;353.4;1.66;70;100540
20120627:0600;22.19;61.95;350;603.95;105;354.75;1.86;79;100580
20120627:0700;23.71;64.4;520;693.72;128;387.65;2.28;90;100610
20120627:0800;24.95;58.35;675;753.01;144;385.9;2.97;92;100620
20120627:0900;25.71;54.7;804;797.39;153;391.7;3.24;91;100610
20120627:1000;26.97;53.1;892;823.58;158;391.5;3.31;90;100620
20120627:1100;27.65;49.8;901;753.92;204;403.5;3.1;88;100580
20120627:1200;28.43;49.8;888;750.57;202;406.8;2.69;86;100560
20120627:1300;29.05;48.25;864;834.53;146;400;2.14;81;100470
20120627:1400;29.52;46.75;746;778.03;149;401.2;1.93;79;100410
