time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20190413:0500;8.63;76.85;29;98.03;22;323.4;3.17;77;100190
20190413:0600;9.27;71.5;169;270.11;101;350.1;3.31;79;100230
20190413:0700;10.19;79.95;372;579.77;127;329.75;3.24;81;100230
20190413:0800;11.13;69.15;395;213.19;273;326.1;3.52;89;100260
20190413:0900;11.66;64.35;443;144.8;343;342.75;3.59;94;100280
20190413:1000;12.64;59.95;701;549.7;278;348.15;3.52;101;100290
20190413:1100;12.81;55.75;823;813.8;169;350.3;3.24;102;100240
20190413:1200;13.35;53.85;680;442.68;330;342.55;2.97;101;100200
20190413:1300;14.06;52;273;5.47;269;355.3;2.48;100;100140
20190413:1400;14.39;50.25;560;531.75;225;356.65;2.28;94;100090
20190413:1500;14.33;50.25;367;302.06;218;358.4;2.28;88;100020
20190413:1600;14.43;50.25;140;30.25;130;345.45;2.48;84;100000
20190413:1700;13.76;55.9;68;71.87;57;329.75;2.48;73;99980
20190413:1800;12.46;59.95;0;0;0;311.95;2.34;58;99970
20190413:1900;11.52;62;0;0;0;312.35;3.1;76;100050
20190413:2000;10.99;64.25;0;0;0;320.3;3.17;75;100060
20190413:2100;10.36;66.55;0;0;0;314.65;3.1;78;100050
20190413:2200;9.88;71.6;0;0;0;312.15;3.03;85;100040
20190413:2300;9.59;74.2;0;0;0;322.2;2.97;91;100020
20190414:0000;8.95;76.95;0;0;0;309.85;2.9;92;99990
20190414:0100;8.38;82.75;0;0;0;317.5;2.69;85;99920
20190414:0200;8.14;89.05;0;0;0;326.65;2.55;72;99910
20190414:0300;7.71;89;0;0;0;317.2;2.55;54;99900
20190414:0400;7.57;89;0;0;0;328.8;2.76;49;99880
20190414:0500;7.29;89;21;13.04;20;319.5;3.1;47;99920
20190414:0600;7.69;92.35;24;0;24;321.45;3.03;47;99980
20190414:0700;7.53;89;139;2.34;138;343.1;3.59;32;99960
20190414:0800;8.03;85.85;65;0;65;339.65;3.59;35;99990
20190414:0900;8.31;82.75;90;0;90;339.05;3.31;38;100040
20190414:1000;9.03;74.15;117;0;117;329.75;3.45;50;100080
20190414:1100;9.36;74.2;203;0;203;331.1;3.1;52;100080
20190414:1200;10.32;69.1;230;0;230;312.15;2.83;55;100100
20190414:1300;10.73;69.1;338;24.49;320;328;2.41;52;100110
20190414:1400;10.62;71.7;230;4.74;227;331.5;1.66;42;100110
20190414:1500;10.77;71.7;216;24.16;204;324.35;0.9;34;100090
20190414:1600;11.02;69.15;114;5.99;112;309.25;0.34;34;100100
20190414:1700;10.83;66.65;22;0;22;320.5;0.07;161;100170
20190414:1800;10.34;71.7;0;0;0;323.4;0.48;182;100230
20190414:1900;8.59;85.9;0;0;0;309.65;1.66;257;100290
20190414:2000;8.4;85.9;0;0;0;322.05;1.79;269;100400
20190414:2100;8.17;89.05;0;0;0;323.55;1.93;280;100440
20190414:2200;7.84;89.05;0;0;0;317.2;1.86;293;100460
20190414:2300;7.17;92.35;0;0;0;296.1;1.66;312;100500
20190415:0000;6.77;92.35;0;0;0;300.55;1.66;313;100540
20190415:0100;6.05;95.75;0;0;0;286.7;1.66;299;100580
20190415:0200;5.63;95.75;0;0;0;291.05;1.52;281;100560
20190415:0300;4.77;95.75;0;0;0;269;1.72;264;100580
20190415:0400;4.41;92.25;0;0;0;276.95;1.66;248;100580
20190415:0500;4.12;95.75;41;170.89;27;270.75;1.72;239;100630
20190415:0600;5.62;99.4;162;190.94;112;261.25;1.52;237;100680
20190415:0700;8.38;89.1;215;55.53;191;265.9;1.45;258;100740
20190415:0800;11.2;77.2;580;787.84;122;269.2;1.38;271;100790
20190415:0900;13.53;58;715;822.48;140;276.35;1.17;292;100790
20190415:1000;15.28;46.75;819;877.19;137;283.1;0.83;302;100760
20190415:1100;16.46;42.05;861;890.12;139;289.5;0;303;100740
20190415:1200;17.2;40.6;812;788.47;183;295.3;1.17;123;100710
20190415:1300;17.64;39.25;628;426.69;313;299.4;2.14;118;100680
20190415:1400;17.88;37.95;643;804.15;131;320.65;2.55;113;100630
20190415:1500;17.56;39.25;471;686;128;341.95;2.62;117;100620
20190415:1600;17.49;39.25;291;571.88;98;327.25;2.76;117;100600
20190415:1700;16.54;45.3;108;337.05;54;338.1;2.41;124;100630
20190415:1800;14.64;50.25;0;0;0;303.85;2.34;133;100640
20190415:1900;12.9;57.9;0;0;0;286.05;2.07;113;100670
20190415:2000;10.96;69.15;0;0;0;281.6;2.07;103;100690
20190415:2100;9.5;74.2;0;0;0;282.75;2.07;89;100720
20190415:2200;8.51;79.75;0;0;0;282.95;2.07;80;100730
20190415:2300;7.75;79.7;0;0;0;277.3;1.93;75;100760
20190416:0000;7.19;85.75;0;0;0;282.15;1.86;73;100740
20190416:0100;6.68;85.7;0;0;0;278.2;1.72;75;100700
20190416:0200;6.86;82.6;0;0;0;278.1;1.45;76;100690
