classe,residenza,mercato,periodo,kwh,f1,f2,f3,anno
0<potenza_impegnata<=1.5,Residente,Mercato Libero,02,67.9,0.32917708486288655,0.3073838384047286,0.3634390767323849,2025
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,02,169.96,0.32513031595402747,0.3196629541026571,0.35520672994331537,2025
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,02,129.184,0.32403550458650926,0.3239198710620754,0.3520446243514153,2025
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,02,30.562,0.33202411029370815,0.2784860436739591,0.38948984603233266,2025
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,02,177.694,0.3376805185542325,0.31537831302862296,0.34694116841714456,2025
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,02,46.318,0.3306022416144546,0.29704490139491213,0.37235285699063325,2025
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,02,104.493,0.32672395425047734,0.3181478174322119,0.35512822831731083,2025
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,02,286.232,0.33423221482623294,0.31180582372926996,0.35396196144449715,2025
potenza_impegnata>6,Non Residente,Mercato Libero,02,787.67,0.3724724920944593,0.263577118080305,0.3639503898252358,2025
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,02,245.319,0.3520108777574014,0.2976948966180853,0.35029422562451334,2025
potenza_impegnata>6,Tutti,Mercato Libero,02,690.635,0.3503503381050007,0.28154735619748245,0.36810230569751695,2025
3<potenza_impegnata<=4.5,Residente,Mercato Libero,02,212.552,0.3225430297681593,0.3341746224341597,0.3432823477976809,2025
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,03,30.86,0.31673487586986643,0.28070343063097497,0.4025616934991587,2025
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,03,261.609,0.3103592065756448,0.3179829707028995,0.3716578227214557,2025
4.5<potenza_impegnata<=6,Residente,Mercato Libero,03,269.903,0.3047148642128689,0.32235355686921574,0.37293157891791523,2025
1.5<potenza_impegnata<=3,Residente,Mercato Libero,03,136.496,0.3046924421748918,0.3267109536849316,0.36859660414017664,2025
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,03,172.66,0.3175321430761653,0.32323266258173167,0.3592351943421029,2025
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,03,131.614,0.3052700439270697,0.32612984513418775,0.3686001109387425,2025
potenza_impegnata>6,Non Residente,Mercato Libero,03,703.488,0.34541453952014095,0.2732946560684533,0.3812908044114058,2025
potenza_impegnata>6,Residente,Maggior Tutela,03,465.118,0.31376881540783763,0.30066626029843174,0.3855649242937305,2025
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,03,87.319,0.3164167633731264,0.31167006401220054,0.371913172614673,2025
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,03,230.657,0.3200298625852062,0.30776579259934633,0.37220434481544756,2025
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,03,50.944,0.2895974661705179,0.29462913903904364,0.4157733947904384,2025
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,03,111.336,0.3164118837082985,0.31701418978025625,0.3665739265114453,2025
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,03,182.252,0.3181665273480709,0.3184825885650473,0.3633508840868819,2025
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,03,109.787,0.31641228151289347,0.3165785209666321,0.36700919752047456,2025
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,03,158.596,0.34685126587923043,0.28962806659555723,0.36352066752521234,2025
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,03,29.135,0.2477202947497697,0.29736720908811787,0.45491249616211227,2025
potenza_impegnata>6,Tutti,Maggior Tutela,03,492.13,0.31649337045993675,0.29157804189937986,0.39192858764068345,2025
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,03,184.83,0.31285706550592035,0.3238234171581614,0.3633195173359182,2025
0<potenza_impegnata<=1.5,Residente,Mercato Libero,03,66.268,0.30372774287858145,0.3062885134887451,0.3899837436326734,2025
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,03,225.368,0.3284235404086792,0.30374469171803575,0.36783176787328503,2025
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,03,45.775,0.30876591214161103,0.29700147610962685,0.39423261174876223,2025
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,03,214.97,0.32024779072232645,0.29900304567477987,0.3807491636028936,2025
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,03,233.4,0.3199575355517907,0.31067401499778957,0.3693684494504197,2025
3<potenza_impegnata<=4.5,Residente,Mercato Libero,03,211.694,0.29927875025898043,0.33883350526662553,0.361887744474394,2025
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,03,105.2,0.307217352165056,0.3240018793466251,0.3687807684883189,2025
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,03,205.326,0.30309894593150283,0.3355073792421509,0.3613936748263464,2025
potenza_impegnata>6,Non Residente,Maggior Tutela,03,578.453,0.3194748994591093,0.2816314316572524,0.3988936688836384,2025
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,03,63.603,0.2979478262999039,0.2940831644616412,0.40796900923845497,2025
0<potenza_impegnata<=1.5,Non Residente,Tutti,03,30.345,0.3059881577031768,0.27912261703192714,0.41488922526489613,2025
potenza_impegnata>6,Residente,Tutti,03,562.681,0.3152312320800531,0.29477304384496444,0.38999572407498245,2025
0<potenza_impegnata<=1.5,Residente,Tutti,03,64.542,0.29772259328190537,0.30545304934584455,0.39682435737225014,2025
4.5<potenza_impegnata<=6,Tutti,Tutti,03,259.108,0.3101668605947102,0.31754721356826077,0.37228592583702896,2025
1.5<potenza_impegnata<=3,Non Residente,Tutti,03,103.273,0.30710804719483475,0.32336831132577265,0.3695236414793925,2025
4.5<potenza_impegnata<=6,Non Residente,Tutti,03,223.867,0.32789404232231273,0.303287196187842,0.36881876148984516,2025
1.5<potenza_impegnata<=3,Residente,Tutti,03,133.453,0.30426085275319936,0.3261364570556015,0.36960269019119907,2025
potenza_impegnata>6,Non Residente,Tutti,03,680.109,0.3468497568106215,0.2728530069038605,0.38029723628551804,2025
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,03,204.941,0.3014253265643787,0.3379784859128714,0.3605961875227499,2025
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,03,26.49,0.3017234859625388,0.24913657638883055,0.44913993764863075,2025
potenza_impegnata>6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,03,506.335,0.41515467373746606,0.2512389137789156,0.3336064124836183,2025
1.5<potenza_impegnata<=3,Residente,Servizio a tutele graduali domestici non vulnerabili,03,131.161,0.29074451508698146,0.32883728145269553,0.38041820346032296,2025
4.5<potenza_impegnata<=6,Tutti,Servizio a tutele graduali domestici non vulnerabili,03,249.341,0.30468361293349283,0.316987907294092,0.37832847977241507,2025
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,03,521.354,0.32836761829640637,0.28365130887458817,0.38798107282900535,2025
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,03,167.156,0.30888515483980244,0.3249864107228787,0.3661284344373189,2025
0<potenza_impegnata<=1.5,Tutti,Tutti,03,46.264,0.3005321685035638,0.29720397991097286,0.4022638515854633,2025
3<potenza_impegnata<=4.5,Non Residente,Tutti,03,172.001,0.31769825755689357,0.32259092094402103,0.3597108214990854,2025
3<potenza_impegnata<=4.5,Residente,Tutti,03,210.529,0.29975405632372104,0.33849562638930963,0.3617503172869694,2025
3<potenza_impegnata<=4.5,Residente,Servizio a tutele graduali domestici non vulnerabili,03,209.751,0.30001858986887975,0.34046084298221835,0.3595205671489019,2025
4.5<potenza_impegnata<=6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,03,209.696,0.32509025208841946,0.29946417841053424,0.37544556950104635,2025
3<potenza_impegnata<=4.5,Tutti,Tutti,03,204.496,0.30341364632481405,0.3351935936943203,0.3613927599808657,2025
1.5<potenza_impegnata<=3,Tutti,Servizio a tutele graduali domestici non vulnerabili,03,126.496,0.2922539037280721,0.3276579097382994,0.3800881865336285,2025
1.5<potenza_impegnata<=3,Tutti,Tutti,03,129.117,0.3048526749027326,0.32558997086672786,0.3695573542305396,2025
4.5<potenza_impegnata<=6,Residente,Servizio a tutele graduali domestici non vulnerabili,03,255.203,0.30100932799524316,0.32014313013798423,0.3788475418667725,2025
1.5<potenza_impegnata<=3,Non Residente,Servizio a tutele graduali domestici non vulnerabili,03,91.693,0.30151619479907865,0.32039452728447576,0.37808927791644564,2025
4.5<potenza_impegnata<=6,Residente,Tutti,03,266.788,0.3048425407643913,0.3217525594060585,0.37340489982955016,2025
0<potenza_impegnata<=1.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,03,42.113,0.27529132706434983,0.30431767253060427,0.4203910004050459,2025
0<potenza_impegnata<=1.5,Residente,Servizio a tutele graduali domestici non vulnerabili,03,54.957,0.26125941258341956,0.33361139859391176,0.40512918882266874,2025
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,03,524.853,0.3101304452358393,0.29046227688861487,0.39940727787554575,2025
potenza_impegnata>6,Tutti,Tutti,03,593.971,0.3251091091407534,0.2875211076058296,0.38736978325341703,2025
potenza_impegnata>6,Tutti,Mercato Libero,03,611.992,0.3253501934844785,0.2876889598727646,0.38696084664275693,2025
potenza_impegnata>6,Residente,Mercato Libero,03,576.615,0.3160751588707203,0.29507631950156343,0.3888485216277164,2025
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,04,23.537,0.2949480858878373,0.22535845458398082,0.47969345952818204,2025
potenza_impegnata>6,Non Residente,Tutti,04,560.649,0.3551164966620936,0.2438231034014308,0.40106039993647546,2025
4.5<potenza_impegnata<=6,Non Residente,Tutti,04,181.807,0.34107946248919996,0.27592778347141234,0.38299275403938765,2025
3<potenza_impegnata<=4.5,Tutti,Tutti,04,175.992,0.3101499767894819,0.3022522764574949,0.3875977467530231,2025
3<potenza_impegnata<=4.5,Residente,Tutti,04,181.877,0.3064394884419005,0.305397947112628,0.38816256444547154,2025
3<potenza_impegnata<=4.5,Non Residente,Tutti,04,144.45,0.3245440120426867,0.2903727742244104,0.385083213732903,2025
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,04,178.886,0.3088265797681177,0.3001354530862077,0.3910379671456745,2025
1.5<potenza_impegnata<=3,Residente,Tutti,04,123.683,0.30423430996872125,0.2980012031123943,0.39776448691888433,2025
